S_No,Zone_Name,Road_Name,Simple_2022,Fatal_2022,Total_2022,Simple_2023,Fatal_2023,Total_2023,Fatal_Day,Total_Day,Fatal_Night,Total_Night,Description
1,ISBT Kashmiri Gate,Ring Road,5,1,6,12,7,19,2,8,5,11,"Situated on Ring Road. Includes ISBT terminal, flyover crossing Yamuna River, connecting flyover loops. More crashes on ISBT flyover road. Most fatal crashes are hit and run. Pedestrian (10), Two-Wheeler (5) are main victims. More crashes during night hours."
2,Mukarba Chowk,GTK Road / Outer Ring Road,11,12,23,11,7,18,3,8,4,10,Junction of Outer Ring Road and GT Karnal Road. High speed and heavy vehicles. 3 of 7 fatal were hit-and-run. Cars and Tempos were offending vehicles. Pedestrians victim in 4 fatal crashes. Most fatal crashes in day hours.
3,Libaspur Bus Stand,GTK Road (NH-1),5,4,9,11,7,18,0,7,7,11,Point on GT Karnal Road. 8-lane highway NH-1 with underpass. Heavy truck and high-speed car movement. 4 of 7 fatal were hit-and-run. Pedestrians (8) and Two-wheelers (5) are main victims. HTVs are main offending vehicles. More crashes during night hours.
4,Kashmiri Gate Chowk,Boulevard Road,10,1,11,12,6,18,2,11,4,7,"On Boulevard Road connecting Mori Gate bus terminal and ISBT. High volume of DTC buses, Cluster buses, HTVs. Pedestrians (15) are main victims. HTVs are main offending vehicles. More crashes during night hours."
5,Britannia Chowk,Ring Road / Lawrence Road,7,7,14,9,6,15,4,9,2,6,"Junction of Ring Road and Lawrence Road. High speed vehicular movement including HTVs. 4 of 6 fatal were hit-and-run. Pedestrians victim in 3 fatal crashes, Two-wheeler riders in 5 total crashes. More fatal crashes during daytime."
6,Burari Chowk,Outer Ring Road,9,2,11,8,6,14,3,6,3,8,Intersection on Outer Ring Road near Burari Village. 3 of 6 fatal were hit-and-run. Two-wheeler riders and pedestrians were victims in 10 of 14 cases. Crashes occurred equally in day and night.
7,Bhalswa Chowk,Outer Ring Road,14,7,21,4,6,11,4,9,2,6,On Outer Ring Road near Bhalswa Village. 3 of 6 fatal were hit-and-run. Four pedestrians lost their lives. Most fatal crashes during nighttime.
8,Wazirpur Depot,Ring Road / Lala Jagat Narayan Marg,6,5,11,4,6,10,3,5,3,5,"Junction of Ring Road and Lala Jagat Narayan Marg. 3 of 6 fatal were hit-and-run. Unknown Vehicles, D.Van and Tanker were main offending vehicles. Two-wheeler riders victim in 4 fatal crashes."
9,Round About Mori Gate,Hamilton Road / Gokhale Road,0,0,0,2,6,8,1,2,5,6,"Round about connecting Hamilton Road, Gokhale Road, Kacheri Road and Mori Gate road. Heavily congested. Pedestrians were victims in 4 fatal crashes. Main offending vehicles are Unknown Vehicle and HTVs. More crashes during night hours."
10,Gandhi Vihar Bus Stand,Outer Ring Road,18,7,25,11,5,16,3,9,2,7,On Outer Ring Road. Heavy pedestrian movement. 2 of 5 fatal were hit-and-run. HTVs are main offending vehicles. Two-wheeler riders victim in 3 fatal crashes. More fatal crashes during day hours.
