S_No,Road_Name,Fatal_Crashes,Total_Crashes_2023,Total_Crashes_2022
1,Ring Road,122,396,125
2,Outer Ring Road,106,326,109
3,GTK Road,74,205,82
4,Rohtak Road,56,166,57
5,Najaf Garh Road,39,161,39
6,Pusta Road,28,99,28
7,Grant Trunk Road,25,103,27
8,Wazirabad Road,23,96,25
9,Mathura Road,23,93,23
10,Bawana Road,21,79,21
11,NH-8,18,92,18
12,Road No 56,18,47,18
13,Kanjhawala Road,16,55,16
14,NH-24,16,53,16
15,Mehrauli Badarpur Rd,14,66,14
16,201 No. Road,13,59,13
17,Patel Road,12,42,12
18,Pankha Road,11,36,11
19,Vikas Marg,10,55,10
20,Narela Road,10,32,10
